id,name,text,trans
4022001000110010,小糸,"ぴゃ……！？
ぷ、プロデューサーさん……！！！","뺘...!?
프, 프로듀서님...!!!"
0000000000000,プロデューサー,（ガチガチに緊張してるな……）,(바짝 긴장했네...)
select,,頑張ろうな！,힘내자!
select,,大丈夫だ！,괜찮아!
select,,無理しなくていい,무리하지 않아도 돼
4022001000110020,小糸,"あ……え、えっと、はい……！
が、頑張ります……！","아... 그, 그게, 네....!
여, 열심히 할게요...!"
0000000000000,プロデューサー,（よし、気合が入ったみたいだ……！）,"(좋아, 기합이 들어간 것 같네...!)"
4022001000110030,小糸,"あ……え、えへ……
そ、そうですかね……","아... 에, 에헤...
그, 그러려나요..."
0000000000000,プロデューサー,（少しは緊張が解けたらいいけど……）,(조금 긴장이 풀렸으면 좋겠는데...)
4022001000110040,小糸,"え……あ……
そ、そう、なんですかね……？","에... 아...
그, 그런, 건가요...?"
0000000000000,プロデューサー,（……しまった、困惑させてしまった……）,(이런... 당황하게 만들어 버렸나...)
info,produce_communication_cheers/402200100011.json,
译者,,
