id,name,text,trans
5004002010010,甘奈,"わあっ、千雪さんのなに頼んだのー？
めっちゃ青色～！","와앗, 치유키씨는 뭐 주문했어~?
엄청 파래~!"
5004002010020,千雪,"これはね、マロウの花を使ったハーブティーよ
とっても素敵な色でしょう？","이건 말야, 멜로우의 꽃을 쓴 허브티야
정말 멋진 색이지?"
5004002010030,千雪,でも……見ててね？　レモンシロップを注ぐと……,하지만... 잘보고있어? 레몬시럽을 넣으면...
5004002010040,甘奈,"えっ、あれっ……ピンクになったよ！？
どうしてー！？　すごいすごいっ！","앗, 어라... 핑크가 됐어!?
어째서~!? 대단해 대단해!"
5004002010050,千雪,ふふ、面白いよね,"후후, 재밌네"
5004002010060,甘奈,"うんっ！　ビックリしたっ☆
かわいーし、魔法みたいだし……","응! 깜짝 놀랐어☆
예쁘고, 마법같아..."
5004002010070,甘奈,────あっ……そうだ,────아... 맞다
5004002010080,甘奈,"ねぇねぇ、ライブの途中でパッと照明を消してね
次にパッとピンク色のライトで照らすの","있지있지, 라이브의 도중에 팟 하고 조명을 지우고
다음에 팟 하면서 핑크색 라이트로 비추는거야"
5004002010090,甘奈,"暗転の間に、衣装もピンク色のに着替えて……
こう衣装がライトに染められた～みたいな演出どうかな！？","암전하고 있을때 의상도 핑크색으로 갈아입고...
이렇게 의상이 라이트에 물들어가는~ 식으로 연출 어떨까나!?"
5004002010100,千雪,"わぁ、素敵……！
一瞬で衣装が変わるの、やってみたいな","와, 멋져...!
한순간에 의상이 바뀌는건 해보고 싶네"
5004002010110,甘奈,"やった☆
じゃあ忘れないうちにメモっとくね","해냈다☆
그럼 까먹기 전에 메모해놓을게"
0000000000000,プロデューサー,はは、いつもノートを持ち歩いているのか？,"하하, 항상 노트를 가지고 다니는 거야?"
5004002010120,甘奈,"えへへ……だってめっちゃ楽しみなんだもん
甘奈たちの手作りな感謝祭……！","에헤헤... 그치만 엄청 즐거운걸
우리들이 손수 만드는 감사제...!"
5004002010130,千雪,……うん、私もなんだか落ち着かないの,"...응, 나도 어쩐지 침착하게 있을수가 없네"
5004002010140,千雪,"ありがとうって気持ち、たくさん伝えたいな、
どうしたらいいのかなーって……","고마워요 라는 마음, 잔뜩 전하고 싶은데
어떻게 하면 좋을까 하고..."
0000000000000,プロデューサー,……お、千雪もスマホに何かまとめてるのか,"...오, 치유키도 스마트폰에 무언가 정리하고 있는건가"
5004002010150,千雪,"あっ、見ちゃダメですよ……！
私のは……まだ内緒です","앗, 보면 안돼요...!
제꺼는... 아직 비밀이에요"
5004002010160,甘奈,"千雪さんのアイディア！？
甘奈も見たーい！","치유키씨의 아이디어!?
아마나도 보고싶어!"
5004002010170,千雪,"あ、甘奈ちゃんまで……！
ええと……もうちょっとまとまったら、聞いてほしいな","아, 아마나쨩까지...!
음... 좀 더 정리 되고나서 물어봐주면 좋겠는데"
5004002010180,甘奈,えへへ、じゃあ楽しみにしてるねっ☆,"에헤헤, 그럼 기대하고 있을게☆"
5004002010190,甜花,──……ふぇ……？,──...후에...?
5004002010200,甘奈,"あっ、甜花ちゃん
ごめんね、うるさかった？","앗, 텐카쨩
미안해, 시끄러웠어?"
5004002010210,甜花,……あれ、甜花……寝ちゃってた……？,"...어라, 텐카... 잠들었었어...?"
5004002010220,千雪,ふふっ……,후훗...
5004002010230,甘奈,"ちょっと疲れてたんじゃないかなっ
寝てていいよー？","조금 피곤했던게 아닐까
자고있어도 괜찮아~"
5004002010240,甜花,"あ、ふ……もう、起きる……
……レッスンの時間は……？","아, 후... 이제 일어날래...
...레슨 시간은...?"
0000000000000,プロデューサー,"まだ大丈夫だよ
今は感謝祭のことを話してたんだ","아직 괜찮아
지금은 감사제에 대해 이야기 하고있었어"
5004002010250,千雪,"うーん……あとは何かテーマとかあったら
もっとアイディアが広がるかしら？","응... 남은건 뭔가 테마같은게 있다면
좀 더 아이디어가 나올지도?"
