id,name,text,trans
4901007390010,智代子,わーい！　チョコレー……と……？,와! 초콜……릿……?
4901007390020,智代子,じゃない……！？,이 아니야……!?
0000000000000,プロデューサー,"チョコはたくさんもらうんじゃないかと思ってな
……俺からは食品サンプルだ","초코는 이미 많이 받지 않았을까 해서
나는 음식 모형이야……"
4901007390030,智代子,"あははっ、そうだったんですね？！
びっくりしました！","아하핫, 그런 거였군요!?
깜짝 놀랐어요!"
4901007390040,智代子,"でもすごいですね……！
本物そっくりです……！","그래도 굉장하네요...!
진짜하고 똑같아요...!"
0000000000000,プロデューサー,"はは、本当に
うっかり食べちゃいそうだよなぁ","하하, 정말로
무심코 먹어버릴 거 같아"
4901007390050,智代子,ふふっ、はい！,"후훗, 네!"
4901007390060,智代子,"でも、食べられないし、溶けないので！
家にバッチリ飾っちゃいますよー！","그래도 먹을 수 없고, 녹지도 않기에!
집에다가 제대로 장식해둘게요!"
info,special_communications/490100739.json,
译者,,
