id,name,text,trans
4010001000120010,智代子,"大丈夫、大丈夫……いつも通りやればへっちゃら……
チョコアイドルはヤワじゃない。大丈夫……！","괜찮아, 괜찮아…… 언제나처럼 하면 걱정 없으니까…… 쵸코 아이돌은 유약하지 않으니까. 괜찮아……!"
0000000000000,プロデューサー,（不安になっているみたいだな）,(불안해 하는 것 같네)
select,,"絶対に大丈夫だって
信じてるからな","절대로 괜찮을 거라고
믿고 있으니까"
select,,"智代子の武器は
笑顔だよ","치요코의 무기는 
미소야"
select,,"これまでの努力は、
無駄じゃないからな","지금까지 해온 노력은, 
무의미하지 않으니까"
4010001000120020,智代子,"あ、ありがとうございます！　……えへへ、元気出ました
プロデューサーさんが信じてくれる、私を信じますね！","가, 감사합니다! ……에헤헤, 기운이 났어요 프로듀서님이 믿어주시는, 저를 믿을테니까요!"
0000000000000,プロデューサー,（いつもの智代子に戻ったな）,(평소의 치요코로 돌아왔구나)
4010001000120030,智代子,"私が笑ってないと、みんなも楽しめないですもんね……！
……武器、ちゃんと使えるように頑張ります！","제가 웃지 않으면, 모두도 즐겁지 않은걸요……! …… 무기, 제대로 사용할 수 있도록 노력할게요!"
0000000000000,プロデューサー,（いい笑顔だな……これなら大丈夫だ）,(좋은 미소다…… 이거라면 괜찮아)
4010001000120040,智代子,"は、はい！
無駄にしないように、精一杯やってきます……！","ㄴ, 네! 
무의미하게 되지 않도록, 힘껏 하고 오겠습니다……!"
0000000000000,プロデューサー,（焦らせてしまったか……？）,(초조하게 되어버린 건가……?)
info,produce_communication_cheers/401000100012.json,
译者,,
